partition,detector,strat_id,strat_name,budget_label,budget_k,detectable_size,clean_pct,mean_out_z,mean_delta_z,ci95_delta_z,mean_edits,mean_turnover,content_jsd
dev,synthid,STRAT_01_SELF_INFO_ONLY,Self-Information Only (SIRA Comparator),Low,3,4,0.0,2.845246671245283,1.149930491177951,1.0405145583935833,7,6.666666666666666,0.03470802926985639
dev,synthid,STRAT_01_SELF_INFO_ONLY,Self-Information Only (SIRA Comparator),Medium,5,4,25.0,2.670020414438386,0.9747042343710541,1.1285084718034915,9,8.819444444444445,0.046493514476975056
dev,synthid,STRAT_01_SELF_INFO_ONLY,Self-Information Only (SIRA Comparator),High,10,4,50.0,1.980891845411549,0.28557566534421736,0.6034741070616522,12,10.902777777777779,0.05644947333529036
dev,synthid,STRAT_02_SPATIAL_ONLY,Spatial Position Only,Low,3,4,0.0,2.8450308780528113,1.14971469798548,1.040259818033156,7,6.319444444444445,0.03401751344543388
dev,synthid,STRAT_02_SPATIAL_ONLY,Spatial Position Only,Medium,5,4,25.0,2.6760082966448566,0.9806921165775249,1.1347269991176088,9,8.472222222222221,0.04585012025161384
dev,synthid,STRAT_02_SPATIAL_ONLY,Spatial Position Only,High,10,4,50.0,2.0339363487650233,0.3386201686976917,0.6704444353215079,12,11.597222222222221,0.060729055609817666
dev,synthid,STRAT_03_CONTEXT_ONLY,Local Contextual Overlap Only,Low,3,4,0.0,2.845246671245283,1.149930491177951,1.0405145583935833,7,6.666666666666666,0.03470802926985638
dev,synthid,STRAT_03_CONTEXT_ONLY,Local Contextual Overlap Only,Medium,5,4,25.0,2.670020414438386,0.9747042343710541,1.1285084718034915,9,8.819444444444445,0.046493514476975056
dev,synthid,STRAT_03_CONTEXT_ONLY,Local Contextual Overlap Only,High,10,4,50.0,1.980891845411549,0.28557566534421736,0.6034741070616522,12,10.902777777777779,0.05644947333529036
dev,synthid,STRAT_04_SELF_INFO_SPATIAL,Self-Information + Spatial,Low,3,4,0.0,2.845246671245283,1.149930491177951,1.0405145583935833,7,6.666666666666666,0.03470802926985638
dev,synthid,STRAT_04_SELF_INFO_SPATIAL,Self-Information + Spatial,Medium,5,4,25.0,2.670020414438386,0.9747042343710541,1.1285084718034915,9,8.819444444444445,0.046493514476975056
dev,synthid,STRAT_04_SELF_INFO_SPATIAL,Self-Information + Spatial,High,10,4,50.0,1.980891845411549,0.28557566534421736,0.6034741070616522,12,10.902777777777779,0.05644947333529036
dev,synthid,STRAT_05_SELF_INFO_CONTEXT,Self-Information + Context,Low,3,4,0.0,2.845246671245283,1.149930491177951,1.0405145583935833,7,6.666666666666666,0.03470802926985638
dev,synthid,STRAT_05_SELF_INFO_CONTEXT,Self-Information + Context,Medium,5,4,25.0,2.670020414438386,0.9747042343710541,1.1285084718034915,9,8.819444444444445,0.046493514476975056
dev,synthid,STRAT_05_SELF_INFO_CONTEXT,Self-Information + Context,High,10,4,50.0,1.980891845411549,0.28557566534421736,0.6034741070616522,12,10.902777777777779,0.056449473335290365
dev,synthid,STRAT_06_SPATIAL_CONTEXT,Spatial + Context,Low,3,4,0.0,2.845246671245283,1.149930491177951,1.0405145583935833,7,6.666666666666666,0.03470802926985638
dev,synthid,STRAT_06_SPATIAL_CONTEXT,Spatial + Context,Medium,5,4,25.0,2.670020414438386,0.9747042343710541,1.1285084718034915,9,8.819444444444445,0.046493514476975056
dev,synthid,STRAT_06_SPATIAL_CONTEXT,Spatial + Context,High,10,4,50.0,1.980891845411549,0.28557566534421736,0.6034741070616522,12,10.902777777777779,0.05644947333529035
dev,synthid,STRAT_07_FULL_COMPOSITE,Full Composite (Self-Info + Spatial + Context),Low,3,4,0.0,2.845246671245283,1.149930491177951,1.0405145583935833,7,6.666666666666666,0.03470802926985638
dev,synthid,STRAT_07_FULL_COMPOSITE,Full Composite (Self-Info + Spatial + Context),Medium,5,4,25.0,2.670020414438386,0.9747042343710541,1.1285084718034915,9,8.819444444444445,0.046493514476975056
dev,synthid,STRAT_07_FULL_COMPOSITE,Full Composite (Self-Info + Spatial + Context),High,10,4,50.0,1.980891845411549,0.28557566534421736,0.6034741070616522,12,10.902777777777779,0.056449473335290365
dev,synthid,STRAT_08_FROZEN_HEATMAP,Existing Frozen Heatmap (9e13d2bc04c8),Low,3,4,0.0,2.8450308780528113,1.14971469798548,1.040259818033156,7,6.319444444444445,0.03401751344543388
dev,synthid,STRAT_08_FROZEN_HEATMAP,Existing Frozen Heatmap (9e13d2bc04c8),Medium,5,4,25.0,2.6760082966448566,0.9806921165775249,1.1347269991176088,9,8.472222222222221,0.04585012025161384
dev,synthid,STRAT_08_FROZEN_HEATMAP,Existing Frozen Heatmap (9e13d2bc04c8),High,10,4,50.0,2.0339363487650233,0.3386201686976917,0.6704444353215079,12,11.597222222222221,0.060729055609817666
dev,synthid,STRAT_09_UNIFORM_CONTROL,Uniform Allocation Control,Low,3,4,25.0,3.0709671733787047,1.375650993311373,1.3291473659250106,7,6.666666666666666,0.033745469616395414
dev,synthid,STRAT_09_UNIFORM_CONTROL,Uniform Allocation Control,Medium,5,4,25.0,2.7730442525208834,1.0777280724535518,1.2797101223374798,9,8.541666666666666,0.03945797297813729
dev,synthid,STRAT_09_UNIFORM_CONTROL,Uniform Allocation Control,High,10,4,50.0,2.1035163905940477,0.40820021052671623,0.7644118978591893,12,10.555555555555555,0.06649416313094803
dev,synthid,STRAT_10_SHUFFLED_CONTROL,Shuffled Ranking Control,Low,3,4,0.0,2.72032100206874,1.0250048220014085,0.9702368568367127,7,6.319444444444445,0.033268399018126615
dev,synthid,STRAT_10_SHUFFLED_CONTROL,Shuffled Ranking Control,Medium,5,4,0.0,2.711805859594468,1.0164896795271363,1.213619618854047,9,8.194444444444445,0.04823409223993855
dev,synthid,STRAT_10_SHUFFLED_CONTROL,Shuffled Ranking Control,High,10,4,50.0,2.192848299740793,0.4975321196734615,0.6969328516168588,12,11.597222222222221,0.061390481852074734
val,synthid,STRAT_01_SELF_INFO_ONLY,Self-Information Only (SIRA Comparator),Low,3,10,10.0,2.522297173669241,0.05820851394468733,0.5698905020928104,6,7.329476715964928,0.04464934444909879
