partition,config_id,category,desc,is_matched_budget,total_evals,detectable_size,clean_count,clean_pct,borderline_pct,strong_pct,mean_base_z,mean_out_z,mean_delta_z,median_delta_z,ci95_delta_z,mean_edits,mean_turnover,mean_domain_turnover,mean_jsd,mean_confidence
dev,CTRL_00_BASELINE,Baseline,Unmodified Watermarked Baseline Control,False,120,42,0,0.0,80.95238095238095,19.047619047619047,2.3841019056431882,2.3841019056431882,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
dev,EXP_01_LEXICAL_ONLY,Individual_Layer,"WordNet Lexical Substitution (Lesk WSD, Unconstrained)",False,120,42,37,88.09523809523809,11.904761904761903,0.0,2.3841019056431882,0.49897356928963615,-1.885128336353552,-1.9187532792321673,0.2999492276458219,17.714285714285715,17.611479913011337,0.0,0.11595486242748247,0.6473895680608713
dev,EXP_02_LEXICAL_TERMINOLOGY,Individual_Layer,Domain-Aware Lexical Substitution (IATE/EuroVoc Variant-Enabled),False,120,42,38,90.47619047619048,9.523809523809524,0.0,2.3841019056431882,0.43436494304207807,-1.94973696260111,-1.9038414180153762,0.2985272057671513,19.857142857142858,18.82366209277528,0.0,0.1318020123945319,0.6845259998022244
dev,EXP_03_STRICT_TERMINOLOGY,Individual_Layer,Domain-Aware Lexical with Strict Terminology Protection,False,120,42,37,88.09523809523809,11.904761904761903,0.0,2.3841019056431882,0.4825441503904969,-1.9015577552526912,-1.9322296772396537,0.3088795206280653,17.333333333333332,17.242318428638956,0.0,0.11552491332174974,0.6489038205203436
dev,EXP_04_TYPING_NOISE_ONLY,Individual_Layer,QWERTY Human Typing Noise Only (Rate = 0.02),False,120,42,5,11.904761904761903,66.66666666666666,21.428571428571427,2.3841019056431882,2.3216528436353894,-0.06244906200779858,-0.0440694336447065,0.10091693168882473,3.5,3.835703652627806,0.0,0.01766029560257425,0.0
dev,EXP_05_FUNCTION_WORDS_ONLY,Individual_Layer,Function-Word Substitution Only (Prob = 1.0),False,120,42,0,0.0,80.95238095238095,19.047619047619047,2.3841019056431882,2.3841019056431882,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
dev,EXP_06_SYNTAX_ONLY,Individual_Layer,Syntax Restructuring Only (Prob = 1.0),False,120,42,0,0.0,80.95238095238095,19.047619047619047,2.3841019056431882,2.3843557090022562,0.0002538033590680579,0.0,0.0003474373520767836,0.047619047619047616,0.045351473922902494,0.0,0.0,0.047619047619047616
dev,EXP_07_CADENCE_ONLY,Individual_Layer,Sentence Cadence & Rhythm Variation Only (Prob = 1.0),False,120,42,0,0.0,80.95238095238095,19.047619047619047,2.3841019056431882,2.3841019056431882,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
dev,EXP_08_LEX_TERM_FUNC,Combination,Lexical + Terminology + Function Words,False,120,42,38,90.47619047619048,9.523809523809524,0.0,2.3841019056431882,0.43436494304207807,-1.94973696260111,-1.9038414180153762,0.2985272057671513,19.857142857142858,18.82366209277528,0.0,0.1318020123945319,0.6845259998022244
dev,EXP_09_LEX_TYPING,Combination,"Lexical + Terminology + Typing Noise (Prob = 0.75, Rate = 0.015)",False,120,42,38,90.47619047619048,9.523809523809524,0.0,2.3841019056431882,0.7938018814381034,-1.5903000242050847,-1.4844182033106401,0.22884240562696465,17.595238095238095,17.28868393209807,0.0,0.11177723094374006,0.6946076881934516
dev,EXP_10_FULL_COMBINED,Combination,Full Multi-Layer Transformation (All Layers Active),False,120,42,37,88.09523809523809,11.904761904761903,0.0,2.3841019056431882,0.4352649607402034,-1.9488369449029848,-1.8414213976173373,0.3222308152364815,23.38095238095238,22.67070361388381,0.0,0.1469674644378217,0.685000839570829
dev,EXP_11_FROZEN_SPATIAL_HEATMAP,Matched_Budget_Allocation,Spatial Heatmap Allocation (Frozen Dev Heatmap 9e13d2bc04c8),True,120,42,25,59.523809523809526,35.714285714285715,4.761904761904762,2.3841019056431882,1.6484323231632554,-0.7356695824799327,-0.7125008683797612,0.11687415993389362,7.428571428571429,7.299721253910494,0.0,0.05125045418709067,0.7342254122146616
dev,EXP_12_FROZEN_COMPOSITE_MODEL,Matched_Budget_Allocation,Composite Ridge Model Allocation (Frozen Model df4a861dbf93),True,120,42,24,57.14285714285714,38.095238095238095,4.761904761904762,2.3841019056431882,1.646722755221216,-0.737379150421972,-0.6646906804442876,0.12517859941348866,7.428571428571429,7.4969975226153345,0.0,0.05149671048602732,0.7321292918258752
dev,EXP_13_UNIFORM_ALLOCATION_CTRL,Matched_Budget_Allocation,Uniform Random Allocation (Matched Budget Control),True,120,42,23,54.761904761904766,40.476190476190474,4.761904761904762,2.3841019056431882,1.6617166510418933,-0.7223852546012949,-0.6923328348623949,0.13250235111657216,7.428571428571429,7.395270982429191,0.0,0.05033913646123563,0.7298957317351722
