partition,strategy_id,strategy_name,clean_pct,mean_out_z,mean_delta_z,median_delta_z,ci95_delta_z,mean_edits,mean_turnover,content_jsd,mean_confidence
dev,STRAT_01_UNIFORM,Uniform Allocation,54.761904761904766,1.6617166510418933,-0.7223852546012949,-0.6923328348623949,0.13250235111657216,7.428571428571429,7.395270982429191,0.05033913646123563,0.7298957317351722
dev,STRAT_02_DOC_POSITION,Document-Relative Position Only,59.523809523809526,1.6484323231632554,-0.7356695824799327,-0.7125008683797612,0.11687415993389362,7.428571428571429,7.299721253910494,0.05125045418709067,0.7342254122146616
dev,STRAT_03_SENTENCE_POSITION,Sentence-Relative Position,57.14285714285714,1.646722755221216,-0.737379150421972,-0.6646906804442876,0.12517859941348866,7.428571428571429,7.4969975226153345,0.05149671048602732,0.7321292918258752
dev,STRAT_04_CLAUSE_POSITION,Clause-Level & Punctuation Proximity,57.14285714285714,1.646722755221216,-0.737379150421972,-0.6646906804442876,0.12517859941348866,7.428571428571429,7.4969975226153345,0.05149671048602732,0.7321292918258752
dev,STRAT_05_POS_STRATIFIED,POS-Stratified Allocation,57.14285714285714,1.646722755221216,-0.737379150421972,-0.6646906804442876,0.12517859941348866,7.428571428571429,7.4969975226153345,0.05149671048602732,0.7321292918258752
dev,STRAT_06_DOMAIN_STRATIFIED,Domain-Stratified Allocation,47.61904761904761,1.7643189155341237,-0.6197829901090645,-0.5464687568073595,0.11226392013029865,4.904761904761905,5.813927318292869,0.0338722817102848,0.6527595006544057
dev,STRAT_07_CONTEXT_WINDOW,Context Sliding Window Overlap,57.14285714285714,1.646722755221216,-0.737379150421972,-0.6646906804442876,0.12517859941348866,7.428571428571429,7.4969975226153345,0.05149671048602732,0.7321292918258752
dev,STRAT_08_FROZEN_HEATMAP,Frozen 20-Bin Sensitivity Heatmap,59.523809523809526,1.6484323231632554,-0.7356695824799327,-0.7125008683797612,0.11687415993389362,7.428571428571429,7.299721253910494,0.05125045418709067,0.7342254122146616
dev,STRAT_09_SHUFFLED_HEATMAP,Shuffled Spatial Heatmap Control,57.14285714285714,1.6854602804999919,-0.6986416251431963,-0.7269463248964969,0.1398631758483634,7.428571428571429,7.3476292390105975,0.051265437524472046,0.7269678679557012
dev,STRAT_10_COMPOSITE_MODEL,Full Composite Token-Context Model,57.14285714285714,1.646722755221216,-0.737379150421972,-0.6646906804442876,0.12517859941348866,7.428571428571429,7.4969975226153345,0.05149671048602732,0.7321292918258752
val,STRAT_01_UNIFORM,Uniform Allocation,42.857142857142854,1.9442679445267095,-0.5893568331938155,-0.6056959711759994,0.16127658309381443,7.428571428571429,8.344855692984842,0.058812053919652614,0.7502277910488352
val,STRAT_02_DOC_POSITION,Document-Relative Position Only,50.0,1.885077689815988,-0.6485470879045371,-0.7277227645417063,0.13131920597470892,7.428571428571429,8.342232856824674,0.058030780086372635,0.735416150332336
val,STRAT_03_SENTENCE_POSITION,Sentence-Relative Position,45.23809523809524,1.856019669192842,-0.6776051085276832,-0.771017886986248,0.14395463294569888,7.428571428571429,8.314547364022902,0.058460296930869654,0.7376339003969309
val,STRAT_04_CLAUSE_POSITION,Clause-Level & Punctuation Proximity,45.23809523809524,1.856019669192842,-0.6776051085276832,-0.771017886986248,0.14395463294569888,7.428571428571429,8.314547364022902,0.058460296930869654,0.7376339003969309
val,STRAT_05_POS_STRATIFIED,POS-Stratified Allocation,45.23809523809524,1.856019669192842,-0.6776051085276832,-0.771017886986248,0.14395463294569888,7.428571428571429,8.314547364022902,0.058460296930869654,0.7376339003969309
val,STRAT_06_DOMAIN_STRATIFIED,Domain-Stratified Allocation,42.857142857142854,2.004659264655175,-0.5289655130653501,-0.6155896028774404,0.11692463902147511,4.9523809523809526,6.50909930447401,0.038532302425445385,0.6732981649237985
val,STRAT_07_CONTEXT_WINDOW,Context Sliding Window Overlap,45.23809523809524,1.856019669192842,-0.6776051085276832,-0.771017886986248,0.14395463294569888,7.428571428571429,8.314547364022902,0.058460296930869654,0.7376339003969309
val,STRAT_08_FROZEN_HEATMAP,Frozen 20-Bin Sensitivity Heatmap,50.0,1.885077689815988,-0.6485470879045371,-0.7277227645417063,0.13131920597470892,7.428571428571429,8.342232856824674,0.058030780086372635,0.735416150332336
val,STRAT_09_SHUFFLED_HEATMAP,Shuffled Spatial Heatmap Control,38.095238095238095,2.0133728255452867,-0.5202519521752381,-0.5411832670933969,0.14383082285735105,7.428571428571429,8.186478028602904,0.05854110407397456,0.7384035760376286
val,STRAT_10_COMPOSITE_MODEL,Full Composite Token-Context Model,45.23809523809524,1.856019669192842,-0.6776051085276832,-0.771017886986248,0.14395463294569888,7.428571428571429,8.314547364022902,0.058460296930869654,0.7376339003969309
