bin_id,bin_index,start_norm,end_norm,token_count,mean_delta_z,median_delta_z,std_delta_z,mean_abs_delta_z,clean_rate,se,ci95_low,ci95_high,raw_p_value,fdr_p_value,bonferroni_p_value,status
pos_bin_01_of_50,0,0.0,0.02,15,-0.0626694638729379,-0.031179733585114756,0.12409581698940635,0.10871592284740769,0.6133333333333333,0.032041402168931615,-0.12547061212404387,0.0001316843781680732,0.14302292601671196,0.840624989352074,1.0,valid
pos_bin_02_of_50,1,0.02,0.04,23,-0.14515545535182642,-0.12695024023291338,0.11556483345699432,0.1492909264896399,0.5478260869565217,0.024096933533888604,-0.1923854450782481,-0.09792546562540475,0.14005265604927186,0.840624989352074,1.0,valid
pos_bin_03_of_50,2,0.04,0.06,14,-0.09970834761814587,-0.09356551487687952,0.1007371651902551,0.11489498960679745,0.5857142857142857,0.026923139875484628,-0.15247770177409575,-0.046938993462196,0.713369642630922,0.9962343944707688,1.0,valid
pos_bin_04_of_50,3,0.06,0.08,15,-0.11444521314226049,-0.10418627419871189,0.08887828360321844,0.11444521314226049,0.5866666666666667,0.022948274148984316,-0.15942383047426975,-0.06946659581025122,0.832717738368741,0.9962343944707688,1.0,valid
pos_bin_05_of_50,4,0.08,0.1,15,-0.12788417288792706,-0.11736515472414522,0.10793533113846142,0.13670903754520133,0.3333333333333333,0.027868782664442926,-0.1825069869102352,-0.07326135886561892,0.5117292384506655,0.9962343944707688,1.0,valid
pos_bin_06_of_50,5,0.1,0.12,24,-0.15629283788940693,-0.14498040967063958,0.1355256261964899,0.18202025022825583,0.6166666666666667,0.027664052604380766,-0.21051438099399322,-0.10207129478482063,0.09142666458232673,0.840624989352074,1.0,valid
pos_bin_07_of_50,6,0.12,0.14,16,-0.15908713711040143,-0.14255552289704873,0.10694723104554575,0.16635895811502854,0.5875,0.026736807761386438,-0.21149128032271886,-0.10668299389808401,0.06417404868393417,0.8021756085491771,1.0,valid
pos_bin_08_of_50,7,0.14,0.16,15,-0.10948434698167536,-0.06678910614052232,0.09338352927236912,0.11071230844246263,0.3466666666666667,0.024111523578797228,-0.15674293319611793,-0.062225760767232796,0.9962343944707688,0.9962343944707688,1.0,valid
pos_bin_09_of_50,8,0.16,0.18,18,-0.11474817902928508,-0.11606643593014732,0.1169606893409895,0.1363992249517919,0.6111111111111112,0.02756789885508894,-0.1687812607852594,-0.06071509727331076,0.8518073754811861,0.9962343944707688,1.0,valid
pos_bin_10_of_50,9,0.18,0.2,16,-0.07315633279686891,-0.05684751797573044,0.11546612211464001,0.10719869080762226,0.6875,0.028866530528660003,-0.12973473263304253,-0.016577932960695305,0.20679616197177242,0.8616506748823851,1.0,valid
pos_bin_11_of_50,10,0.2,0.22,14,-0.11079229093877574,-0.10507402176978084,0.09295840202979881,0.12210080810020671,0.42857142857142855,0.024844177972678464,-0.15948687976522552,-0.06209770211232595,0.9616639873768702,0.9962343944707688,1.0,valid
pos_bin_12_of_50,11,0.22,0.24,15,-0.09161303657745408,-0.11178372452924452,0.13922041249279515,0.13674800779833407,0.4666666666666667,0.035946555935781506,-0.1620682862115858,-0.021157786943322335,0.6168434286051632,0.9962343944707688,1.0,valid
pos_bin_13_of_50,12,0.24,0.26,12,-0.1486136169429508,-0.15153937869708728,0.10006701854076021,0.15764529943926298,0.6666666666666666,0.02888686004575559,-0.20523186263263177,-0.09199537125326984,0.17681381115609263,0.840624989352074,1.0,valid
pos_bin_14_of_50,13,0.26,0.28,12,-0.15133017548346075,-0.16440851580604432,0.10093912959909716,0.15392149474402841,0.4,0.029138616822902638,-0.20844186445634993,-0.09421848651057159,0.1520894681666447,0.840624989352074,1.0,valid
pos_bin_15_of_50,14,0.28,0.3,16,-0.1304376801710498,-0.1362000200453381,0.10995115820766344,0.14381623904030771,0.5125,0.02748778955191586,-0.1843137476928049,-0.07656161264929473,0.4483683520928432,0.9962343944707688,1.0,valid
pos_bin_16_of_50,15,0.3,0.32,20,-0.11239460788640439,-0.10460758895711744,0.12043023746715946,0.13795708067903253,0.52,0.026929019752301064,-0.16517548660091447,-0.0596137291718943,0.9172916941602134,0.9962343944707688,1.0,valid
pos_bin_17_of_50,16,0.32,0.34,19,-0.13386710266729016,-0.15757643643311672,0.12044848798544719,0.14783356466179975,0.8026315789473685,0.027632778264780906,-0.18802734806626073,-0.07970685726831958,0.3797987616660756,0.9962343944707688,1.0,valid
pos_bin_18_of_50,17,0.34,0.36,11,-0.07145531525056897,-0.05756521354343491,0.10523147909196612,0.09239187379217759,0.6363636363636364,0.03172848475292552,-0.133643145366303,-0.009267485134834955,0.22930018919599382,0.8819238045999763,1.0,valid
pos_bin_19_of_50,18,0.36,0.38,17,-0.13350264147863472,-0.10022036154871831,0.13852195339988738,0.14952792007194501,0.5882352941176471,0.033596508549095475,-0.19935179823486185,-0.06765348472240759,0.4767636787563492,0.9962343944707688,1.0,valid
pos_bin_20_of_50,19,0.38,0.4,16,-0.0769342803634797,-0.06802054264486093,0.13611936789986886,0.1260412462976373,0.8125,0.034029841974967216,-0.14363277063441543,-0.010235790092543953,0.3371260212370102,0.9915471212853241,1.0,valid
pos_bin_21_of_50,20,0.4,0.42,12,-0.09497911622976807,-0.13328460926571184,0.13579000821095372,0.1389322968839875,0.7166666666666667,0.039199198896927814,-0.17180954606774657,-0.018148686391789556,0.7091916583594073,0.9962343944707688,1.0,valid
pos_bin_22_of_50,21,0.42,0.44,15,-0.09308127291318391,-0.08372525304127558,0.07798086548068446,0.09520632338664345,0.4666666666666667,0.02013457288863545,-0.1325450357749094,-0.05361751005145843,0.4120315658789726,0.9962343944707688,1.0,valid
pos_bin_23_of_50,22,0.44,0.46,15,-0.1137592434079867,-0.10449759741485462,0.10071802489878282,0.1251748332254575,0.6266666666666667,0.02600528220639265,-0.1647295965325163,-0.0627888902834571,0.8728732942580439,0.9962343944707688,1.0,valid
pos_bin_24_of_50,23,0.46,0.48,19,-0.0949940105859093,-0.1070266249631121,0.14690535147353537,0.13692490154265421,0.5263157894736842,0.033702399017813925,-0.1610507126608246,-0.028937308510994006,0.6647778426782727,0.9962343944707688,1.0,valid
pos_bin_25_of_50,24,0.48,0.5,12,-0.08605860980367852,-0.12221703893184217,0.1267575157285152,0.12785366495336614,0.45,0.03659174291383324,-0.1577784259147917,-0.014338793692565369,0.5200283322919415,0.9962343944707688,1.0,valid
pos_bin_26_of_50,25,0.5,0.52,21,-0.09816456036274841,-0.09953262659029005,0.1322715802956698,0.13397980318767103,0.7238095238095238,0.028864025190301724,-0.1547380497357398,-0.041591070989757034,0.6920174401482153,0.9962343944707688,1.0,valid
pos_bin_27_of_50,26,0.52,0.54,15,-0.07509969955938318,-0.07998831224592676,0.1198144218566026,0.11565986380002576,0.5733333333333334,0.030935950699072786,-0.13573416292956586,-0.014465236189200523,0.26478315063108915,0.945654109396747,1.0,valid
pos_bin_28_of_50,27,0.54,0.56,18,-0.0825907031436509,-0.07654147883187354,0.12905068654255877,0.11651080972360292,0.7222222222222222,0.030417538523674282,-0.1422090786500525,-0.02297232763724931,0.3745997475838938,0.9962343944707688,1.0,valid
pos_bin_29_of_50,28,0.56,0.58,16,-0.020247155520881792,-0.02057187735649854,0.10175402672052893,0.08466607888362249,0.5625,0.02543850668013223,-0.07010662861394096,0.02961231757217738,0.00044402817510524883,0.02220140875526244,0.02220140875526244,valid
pos_bin_30_of_50,29,0.58,0.6,14,-0.07913968371436264,-0.10055528312507593,0.08596567912930603,0.09868950347279774,0.5714285714285714,0.02297529416594331,-0.12417126027961153,-0.03410810714911375,0.18493749765745626,0.840624989352074,1.0,valid
pos_bin_31_of_50,30,0.6,0.62,18,-0.10795548592866669,-0.09293490815905212,0.09565147384615812,0.11282964367426997,0.5,0.022545268595702037,-0.15214421237624268,-0.0637667594810907,0.9419172698721214,0.9962343944707688,1.0,valid
