feature_name,coefficient,std_error,t_statistic,p_value,ci95_lower,ci95_upper
Intercept,-0.10188307691265214,0.07298846859877266,-1.3958790870475306,0.16275090924475943,-0.24494047536624655,0.04117432154094228
is_noun,-0.0357763996839615,0.018750295327377983,-1.9080445965948647,0.05638545250788418,-0.07252697852562234,0.0009741791576993453
is_verb,-0.030901410025600984,0.019756249496227198,-1.5641334166944059,0.11778623975142621,-0.06962365903820629,0.007820838987004322
is_adj,-0.004219464341818793,0.020291379586260223,-0.20794368977631728,0.835272935200406,-0.04399056833088883,0.03555163964725124
is_cs,0.0,117.9462098144085,0.0,1.0,-231.17457123624067,231.17457123624067
is_bio,0.0,117.9462098144085,0.0,1.0,-231.17457123624067,231.17457123624067
is_eli5,0.0,117.9462098144085,0.0,1.0,-231.17457123624067,231.17457123624067
is_fin,0.0,117.9462098144085,0.0,1.0,-231.17457123624067,231.17457123624067
pos_norm,0.11750421174849421,0.057316210231884816,2.0501043469745492,0.04035424930139442,0.005164439693999975,0.22984398380298843
pos_norm_sq,-0.11522073674325334,0.05575756409082344,-2.066459297891321,0.03878513181963328,-0.22450556236126729,-0.00593591112523939
sent_relative_pos,0.026432247847739176,0.015350139232645636,1.7219549247817156,0.08507768415853922,-0.00365402504824627,0.056518520743724626
is_sent_initial,0.018962261052497997,0.054933475021650226,0.34518590067394506,0.729954617729476,-0.08870734998993644,0.12663187209493243
is_sent_final,-0.019831453631556473,0.05502448402830636,-0.3604114419565395,0.7185394713364963,-0.12767944232703693,0.088016535063924
window_count,-0.009679143060212662,0.022980210204311794,-0.42119471380625395,0.6736129041204972,-0.05472035506066378,0.03536206894023845
token_len,0.0017839877091705128,0.0018349438659400411,0.9722301277355841,0.330936075520333,-0.0018125022680719677,0.005380477686412993
